id,risco_credito,idade,renda_anual,sexo,estado_civil,qtd_filhos,qtd_cartoes_credito,forma_pagamento,paga_hipoteca,outros_emprestimos
1,baixo_risco,44,59944,masculino,casado,1,2,mensal,sim,0
2,alto_risco,35,59692,masculino,casado,1,1,mensal,sim,0
3,alto_risco,34,59463,masculino,casado,0,2,NA,sim,1
4,baixo_risco,39,59393,feminino,casado,0,2,mensal,sim,0
5,baixo_risco,42,59201,masculino,casado,0,1,mensal,sim,0
6,baixo_risco,31,59193,NA,casado,1,2,mensal,sim,1
7,alto_risco,28,59179,masculino,casado,1,1,mensal,sim,1
8,baixo_risco,30,59036,masculino,NA,1,1,mensal,sim,1
9,medio_risco,38,58914,masculino,casado,0,1,mensal,sim,1
10,medio_risco,36,58878,feminino,casado,1,1,NA,sim,0
11,alto_risco,44,58529,masculino,casado,0,1,mensal,sim,0
12,baixo_risco,NA,58026,masculino,casado,0,1,mensal,sim,0
13,medio_risco,32,57718,NA,NA,1,2,mensal,sim,1
14,alto_risco,38,NA,feminino,casado,1,NA,mensal,NA,1
15,alto_risco,28,57623,masculino,casado,1,1,mensal,sim,1
16,alto_risco,41,57520,NA,casado,1,NA,mensal,sim,0
17,alto_risco,43,NA,feminino,casado,0,1,mensal,sim,NA
18,medio_risco,34,56891,masculino,casado,1,1,mensal,NA,1
19,baixo_risco,33,56849,masculino,casado,1,1,NA,sim,1
20,alto_risco,38,56590,NA,NA,0,2,mensal,sim,0
21,medio_risco,34,56486,masculino,casado,0,1,mensal,sim,NA
22,alto_risco,41,56470,masculino,casado,0,2,mensal,sim,0
23,medio_risco,33,56087,NA,casado,1,2,mensal,sim,1
24,medio_risco,30,NA,feminino,casado,0,NA,mensal,sim,1
25,baixo_risco,30,55642,feminino,casado,1,NA,mensal,sim,0
26,baixo_risco,38,55565,masculino,NA,1,2,mensal,sim,0
27,medio_risco,NA,55497,masculino,casado,1,1,mensal,sim,1
28,medio_risco,39,55390,feminino,casado,0,1,mensal,sim,NA
29,baixo_risco,39,55215,masculino,casado,NA,2,mensal,sim,0
30,baixo_risco,36,54938,masculino,casado,0,2,mensal,sim,0
31,baixo_risco,32,54792,masculino,NA,1,1,mensal,NA,0
32,medio_risco,35,54673,feminino,casado,1,2,mensal,NA,1
33,baixo_risco,28,54671,masculino,casado,0,2,mensal,sim,0
34,baixo_risco,44,54451,masculino,casado,0,1,NA,sim,1
35,medio_risco,36,54021,masculino,casado,1,1,mensal,sim,1
36,baixo_risco,33,54013,feminino,casado,NA,1,mensal,sim,0
37,medio_risco,44,53983,feminino,casado,NA,NA,mensal,sim,0
38,baixo_risco,45,53842,NA,casado,0,2,mensal,sim,NA
39,baixo_risco,NA,53731,masculino,casado,0,2,mensal,sim,1
40,baixo_risco,45,53704,masculino,casado,1,2,mensal,sim,1
41,baixo_risco,44,53660,feminino,casado,1,1,mensal,sim,1
42,medio_risco,36,53365,masculino,casado,0,1,mensal,sim,0
43,alto_risco,42,53307,masculino,casado,0,2,mensal,sim,1
44,baixo_risco,35,53201,masculino,casado,0,1,mensal,sim,NA
45,baixo_risco,NA,53195,masculino,casado,1,2,mensal,sim,1
46,baixo_risco,40,53180,feminino,casado,1,2,mensal,sim,0
47,alto_risco,33,53115,feminino,casado,0,2,mensal,sim,NA
48,medio_risco,NA,52973,masculino,casado,1,1,mensal,sim,0
49,medio_risco,32,52961,feminino,casado,1,1,NA,sim,1
50,medio_risco,33,52896,masculino,NA,0,2,mensal,sim,1
51,medio_risco,NA,52540,feminino,casado,0,2,mensal,sim,0
52,baixo_risco,39,52495,feminino,casado,1,2,mensal,sim,1
53,medio_risco,NA,NA,feminino,casado,0,2,mensal,NA,0
54,medio_risco,36,51939,masculino,casado,0,1,NA,sim,0
55,medio_risco,41,51859,feminino,casado,0,2,mensal,sim,NA
