ano,estado,municipio,t_agua,t_banagua,t_lixo,t_luz,T_ANALF18M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_ATRASO_2_MED
2010,Rondônia,ALTA FLORESTA D'OESTE,93.69,80.2,94.05,93.98,13,22.03,17.82,7.79
2010,Rondônia,ARIQUEMES,98.54,85.35,96.72,98.58,8.53,19.35,16.74,3.96
2010,Rondônia,CABIXI,95.49,91.63,99.14,96.36,14.73,15.59,12.93,6.93
2010,Rondônia,CACOAL,97.96,93.44,98.17,98.89,8.94,15.57,12.58,7.33
2010,Rondônia,CEREJEIRAS,97.53,86.87,91.89,98.85,11.17,12.93,10.27,3.82
2010,Rondônia,COLORADO DO OESTE,95.54,93.89,92.79,97.76,13.41,13.74,9.8,5.02
2010,Rondônia,CORUMBIARA,93.24,86.43,90.19,97.81,13.55,17.61,13.43,3.4
2010,Rondônia,COSTA MARQUES,95.67,54.32,79.35,90.13,9.39,23.5,16.57,11
2010,Rondônia,ESPIGÃO D'OESTE,93.7,84.71,91.07,96.7,12.18,16.09,12.32,4.97
2010,Rondônia,GUAJARÁ-MIRIM,93.26,49.32,90.41,97.71,8.7,26.61,21.91,8.27
2010,Rondônia,JARU,97.09,82.81,95.04,99.4,11.49,19.6,15.58,3.64
2010,Rondônia,JI-PARANÁ,97.81,89.31,95.36,99.35,8.38,16.43,12.41,7.45
2010,Rondônia,MACHADINHO D'OESTE,92.56,69.34,91.21,88.1,12.85,28.82,23.23,8.42
2010,Rondônia,NOVA BRASILÂNDIA D'OESTE,94.07,74.6,94.84,94.95,12.31,20.71,15.61,7.11
2010,Rondônia,OURO PRETO DO OESTE,97.8,91.58,96.79,99.13,11.18,20.84,14.2,5.35
2010,Rondônia,PIMENTA BUENO,97.21,91.07,97.98,99,9.04,19.45,16.01,3.37
2010,Rondônia,PORTO VELHO,92.87,72.14,95.67,98.2,5.43,22.43,17.66,9.51
2010,Rondônia,PRESIDENTE MÉDICI,93.77,85.3,91.68,99.15,13.23,20.1,15.96,11.77
2010,Rondônia,RIO CRESPO,97.99,83.94,95.82,96.42,14.36,20.26,17.36,0
2010,Rondônia,ROLIM DE MOURA,97.4,93.72,98.05,99.24,9.74,18,11.84,11.47
2010,Rondônia,SANTA LUZIA D'OESTE,93.08,87.69,78.87,99.21,14.13,18.16,13.3,1.66
2010,Rondônia,VILHENA,98.16,97.28,98.01,98.29,6.52,13.59,10.94,4
2010,Rondônia,SÃO MIGUEL DO GUAPORÉ,97.43,77.44,98.52,96.7,11.84,18.97,15.12,10.06
2010,Rondônia,NOVA MAMORÉ,93.81,57.14,78.14,91.43,14.22,29.17,23.3,25.08
2010,Rondônia,ALVORADA D'OESTE,94.31,80.76,95.35,98.06,14.11,19.29,15.66,8.42
2010,Rondônia,ALTO ALEGRE DOS PARECIS,93.59,77.53,92.79,91.11,14.86,16.68,12.23,2.53
2010,Rondônia,ALTO PARAÍSO,95.29,72.84,87.49,97.06,12.83,26.99,21.87,6.05
2010,Rondônia,BURITIS,90.12,77.33,96.4,94.44,10.67,23,19.43,12.86
2010,Rondônia,NOVO HORIZONTE DO OESTE,92.66,86.25,97.77,98.86,15.68,26.25,21.8,11.39
2010,Rondônia,CACAULÂNDIA,93.68,74.25,96.1,94.16,14.34,18.41,13.58,9.69
2010,Rondônia,CAMPO NOVO DE RONDÔNIA,91.75,60.87,90.17,84.79,13.46,24.73,19.66,0
