UF,Municipio,RDPC
Rondônia,ALTA FLORESTA D'OESTE,476.99
Rondônia,ARIQUEMES,689.95
Rondônia,CABIXI,457.17
Rondônia,CACOAL,738.06
Rondônia,CEREJEIRAS,577.18
Rondônia,COLORADO DO OESTE,535.41
Rondônia,CORUMBIARA,402.15
Rondônia,COSTA MARQUES,370.77
Rondônia,ESPIGÃO D'OESTE,590.8
Rondônia,GUAJARÁ-MIRIM,494.69
Rondônia,JARU,575.14
Rondônia,JI-PARANÁ,743.35
Rondônia,MACHADINHO D'OESTE,401.42
Rondônia,NOVA BRASILÂNDIA D'OESTE,499.59
Rondônia,OURO PRETO DO OESTE,576.51
Rondônia,PIMENTA BUENO,734.76
Rondônia,PORTO VELHO,929.19
Rondônia,PRESIDENTE MÉDICI,520.2
Rondônia,RIO CRESPO,420.61
Rondônia,ROLIM DE MOURA,657.65
Rondônia,SANTA LUZIA D'OESTE,476.08
Rondônia,VILHENA,768.98
Rondônia,SÃO MIGUEL DO GUAPORÉ,440.6
Rondônia,NOVA MAMORÉ,377.34
Rondônia,ALVORADA D'OESTE,469.26
Rondônia,ALTO ALEGRE DOS PARECIS,341.22
Rondônia,ALTO PARAÍSO,498.49
Rondônia,BURITIS,458.05
Rondônia,NOVO HORIZONTE DO OESTE,346.38
Rondônia,CACAULÂNDIA,499.93
Rondônia,CAMPO NOVO DE RONDÔNIA,507.69
Rondônia,CANDEIAS DO JAMARI,463.63
Rondônia,CASTANHEIRAS,455.53
Rondônia,CHUPINGUAIA,483.36
Rondônia,CUJUBIM,495.31
Rondônia,GOVERNADOR JORGE TEIXEIRA,396.36
Rondônia,ITAPUÃ DO OESTE,411.36
Rondônia,MINISTRO ANDREAZZA,448.38
Rondônia,MIRANTE DA SERRA,527.79
Rondônia,MONTE NEGRO,443.85
Rondônia,NOVA UNIÃO,352.24
Rondônia,PARECIS,343.73
Rondônia,PIMENTEIRAS DO OESTE,493.67
Rondônia,PRIMAVERA DE RONDÔNIA,442.61
Rondônia,SÃO FELIPE D'OESTE,368.24
Rondônia,SÃO FRANCISCO DO GUAPORÉ,477.9
Rondônia,SERINGUEIRAS,441.13
Rondônia,TEIXEIRÓPOLIS,464.45
Rondônia,THEOBROMA,382.6
Rondônia,URUPÁ,380.5
Rondônia,VALE DO ANARI,394.02
Rondônia,VALE DO PARAÍSO,432.03
Acre,ACRELÂNDIA,303.76
Acre,ASSIS BRASIL,291.33
Acre,BRASILÉIA,376.07
Acre,BUJARI,340.95
Acre,CAPIXABA,336.17
Acre,CRUZEIRO DO SUL,450.06
Acre,EPITACIOLÂNDIA,467.83
Acre,FEIJÓ,259.43
Acre,JORDÃO,178.03
Acre,MÂNCIO LIMA,295.5
Acre,MANOEL URBANO,307.7
Acre,MARECHAL THAUMATURGO,157.27
Acre,PLÁCIDO DE CASTRO,321.16
Acre,PORTO WALTER,204.19
Acre,RIO BRANCO,744.67
Acre,RODRIGUES ALVES,200.58
Acre,SANTA ROSA DO PURUS,201.58
Acre,SENADOR GUIOMARD,455.06
Acre,SENA MADUREIRA,320.8
Acre,TARAUACÁ,251.53
Acre,XAPURI,382.24
Acre,PORTO ACRE,319.71
Amazonas,ALVARÃES,178.67
Amazonas,AMATURÁ,178.69
Amazonas,ANAMÃ,226.82
Amazonas,ANORI,229.94
Amazonas,APUÍ,380.62
Amazonas,ATALAIA DO NORTE,159.21
Amazonas,AUTAZES,228.43
Amazonas,BARCELOS,237.29
Amazonas,BARREIRINHA,148.28
Amazonas,BENJAMIN CONSTANT,211.1
Amazonas,BERURI,193.4
Amazonas,BOA VISTA DO RAMOS,175.55
Amazonas,BOCA DO ACRE,288.42
Amazonas,BORBA,219.83
Amazonas,CAAPIRANGA,235.49
Amazonas,CANUTAMA,206.44
Amazonas,CARAUARI,222.32
Amazonas,CAREIRO,197.06
Amazonas,CAREIRO DA VÁRZEA,207.18
Amazonas,COARI,347.2
Amazonas,CODAJÁS,239.64
Amazonas,EIRUNEPÉ,241.86
Amazonas,ENVIRA,204.98
Amazonas,FONTE BOA,200.4
