Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;TIPI1;TIPI2;TIPI3;TIPI4;TIPI5;TIPI6;TIPI7;TIPI8;TIPI9;TIPI10;education;urban;gender;age;orientation;married;familysize;ASD;nerdy
3;5;3;3;5;5;5;3;5;5;4;5;5;5;3;5;4;5;5;5;5;5;5;5;5;5;1;1;7;1;6;7;7;1;7;1;3;2;2;69;1;3;4;2;7
4;4;4;3;5;2;5;1;4;4;1;5;4;4;1;3;3;3;1;3;3;3;4;4;4;5;5;3;5;4;5;5;5;5;6;1;4;2;2;50;1;1;3;2;6
5;5;5;5;5;5;5;5;5;5;5;4;5;5;4;5;5;4;5;5;5;5;5;5;3;5;1;6;3;7;6;7;2;6;2;1;3;1;2;22;2;1;2;2;7
5;5;5;5;5;5;5;3;5;5;5;5;4;4;4;2;5;5;5;5;4;1;5;5;5;5;7;2;7;4;7;2;6;1;7;1;4;3;1;44;1;3;4;2;7
4;4;4;4;4;4;4;4;4;5;4;4;5;5;1;1;5;5;3;5;5;4;4;5;4;0;2;5;4;3;7;6;5;5;6;2;1;1;2;17;4;1;1;2;6
4;4;4;4;4;4;5;3;3;4;4;4;3;5;3;4;3;4;5;4;4;2;5;5;3;4;2;3;5;5;5;5;4;3;4;4;2;3;1;18;2;1;3;2;5
5;3;4;3;5;4;4;5;5;5;3;3;4;4;1;1;3;1;3;1;5;1;4;5;3;5;3;1;2;1;7;5;5;5;6;1;2;2;1;18;1;1;2;2;6
5;3;4;5;5;3;3;5;3;5;4;4;3;5;3;5;4;4;3;3;4;4;3;5;2;5;3;6;5;7;6;5;6;7;1;4;2;2;2;21;5;1;3;2;5
5;5;5;4;2;3;0;5;4;4;4;4;5;3;5;4;5;5;4;3;5;2;5;4;2;3;1;1;5;5;5;7;7;7;3;1;3;2;2;25;1;1;4;2;7
4;5;5;5;4;3;5;4;4;5;1;4;4;5;5;4;5;5;2;5;2;3;5;5;2;5;5;6;3;6;6;7;4;7;5;2;1;2;3;17;2;1;3;2;7
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;6;7;7;1;7;5;1;1;2;1;3;15;2;1;1;2;7
4;3;4;2;2;4;1;5;2;5;4;1;4;3;1;5;4;4;2;4;3;5;4;4;2;2;2;1;7;6;5;6;7;4;3;2;2;2;2;18;1;1;2;2;5
5;4;5;4;4;3;5;3;2;4;1;5;4;4;1;5;5;1;3;3;1;4;5;4;5;5;4;6;6;1;6;6;3;3;7;2;3;2;1;53;1;2;2;2;6
1;5;5;5;5;5;5;5;5;0;5;5;5;5;5;1;5;1;0;0;5;0;5;5;1;5;3;5;7;7;7;3;7;6;6;2;4;1;2;21;4;1;2;2;6
3;3;4;1;4;2;4;2;3;3;3;4;1;3;2;5;4;4;5;3;1;1;1;4;4;4;5;6;6;3;6;4;4;5;6;2;3;1;1;31;1;2;2;2;5
3;2;2;2;5;4;5;2;5;5;1;5;2;4;1;2;4;1;3;5;1;1;3;4;5;3;1;1;6;2;3;6;2;6;5;3;2;2;2;39;1;3;1;2;2
3;5;5;2;4;4;4;5;4;3;5;5;5;4;3;4;4;1;2;4;3;3;5;3;1;4;1;3;6;2;3;5;7;7;2;2;0;3;2;16;5;1;0;2;6
4;4;4;4;4;2;5;4;1;3;4;4;3;5;5;4;5;4;5;5;1;1;1;3;3;5;2;4;5;2;5;7;5;2;7;4;2;2;1;20;1;1;4;2;7
5;5;5;5;1;4;3;5;3;5;5;5;4;2;5;5;5;4;5;2;4;3;5;4;1;3;1;5;5;5;2;7;6;5;3;3;2;3;2;24;1;1;7;2;6
4;4;5;4;4;4;5;5;5;3;2;3;5;4;2;5;4;4;2;5;3;2;4;3;3;4;1;6;4;6;2;6;3;5;3;4;1;2;2;15;2;1;2;1;6
4;4;4;4;4;4;4;2;4;5;4;4;4;1;1;4;4;5;5;4;2;1;5;4;4;4;3;2;6;5;5;6;5;1;5;5;2;2;2;29;1;2;1;2;6
3;4;4;1;4;4;4;2;4;5;4;4;4;5;4;3;5;4;3;4;4;2;5;5;1;4;1;1;7;5;6;7;7;2;6;5;3;1;2;44;1;2;6;2;4
4;1;5;4;5;5;5;4;3;5;3;4;5;4;2;5;4;5;2;4;1;4;4;2;3;4;1;2;6;1;5;7;5;2;7;6;2;3;2;20;1;1;3;2;6
5;5;5;5;5;4;5;3;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;2;7;4;7;7;6;1;2;7;1;2;1;1;21;1;1;1;2;7
5;4;5;5;5;3;5;5;5;5;4;4;1;4;5;4;4;5;5;2;4;1;5;5;2;5;3;5;3;7;6;5;6;5;1;2;1;3;2;17;2;1;5;2;7
3;4;4;3;4;4;4;3;4;4;2;4;3;4;2;3;4;3;3;4;2;3;4;3;4;4;2;6;6;2;6;6;4;2;6;2;2;2;1;41;1;1;1;2;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;6;5;3;7;7;4;2;6;1;1;2;2;14;2;1;9;1;7
5;5;4;5;4;4;1;5;4;4;5;1;0;2;4;5;5;5;5;2;5;3;5;4;1;5;5;3;6;6;5;5;3;6;1;2;1;2;1;17;2;1;3;1;5
3;5;4;3;4;4;5;4;4;5;2;5;5;4;2;4;5;5;4;4;2;4;5;5;5;5;1;5;6;3;4;6;2;1;6;3;3;2;1;50;1;1;2;2;6
4;5;5;4;3;4;5;5;4;5;5;5;4;5;1;4;3;5;5;5;3;4;5;4;3;4;2;6;3;2;6;7;5;5;6;3;2;2;2;18;1;1;3;2;6
5;5;4;5;5;5;5;3;5;4;5;4;3;2;5;1;3;4;5;3;1;3;3;4;4;4;6;4;6;4;6;6;7;5;4;1;1;3;1;15;1;1;4;1;7
4;4;4;4;2;3;3;5;4;4;4;3;4;4;4;3;4;5;2;4;5;2;4;4;3;3;5;5;6;2;6;5;3;5;3;1;2;2;2;16;5;1;3;2;6
3;5;5;2;5;5;5;5;5;5;1;5;5;5;5;5;5;5;2;5;5;5;5;5;4;4;1;7;6;7;5;7;5;1;1;1;2;3;1;55;1;2;2;2;5
5;4;5;5;3;4;5;1;4;5;1;4;4;3;1;4;5;5;4;5;1;1;5;5;5;4;2;5;6;7;6;6;7;3;2;7;4;2;1;34;3;1;2;2;7
4;5;2;2;5;4;5;2;4;2;5;4;2;4;2;1;2;4;5;2;1;1;2;4;5;4;7;6;6;5;7;5;7;5;6;3;4;3;1;25;1;1;2;2;5
4;4;4;4;5;4;5;5;5;4;4;5;5;5;2;4;5;4;3;5;5;4;5;5;4;5;2;6;7;2;7;6;3;6;7;2;1;3;2;14;5;1;3;2;6
5;5;3;5;4;4;5;5;5;5;5;4;5;5;2;4;4;4;5;5;5;5;4;5;3;4;3;5;6;4;7;6;5;5;6;1;2;1;1;17;1;1;2;2;7
5;5;3;3;4;3;4;5;5;5;4;5;4;4;3;3;3;5;5;3;5;1;5;4;4;5;5;1;6;1;6;5;3;6;7;2;2;3;1;43;1;1;3;2;3
4;4;5;5;3;3;4;5;4;5;4;5;4;2;5;5;4;5;5;3;5;1;4;4;1;4;6;7;5;7;6;4;2;7;1;2;1;3;2;15;1;1;2;2;5
5;5;4;3;2;3;3;5;1;3;4;1;5;5;1;5;3;3;2;5;5;5;5;5;3;2;6;5;6;7;6;5;7;7;3;2;4;3;1;17;1;1;1;2;6
4;4;4;4;4;3;1;5;4;3;2;3;5;3;4;5;5;2;3;1;4;2;2;4;4;4;3;7;5;5;4;3;3;2;2;2;2;2;2;18;2;1;2;2;5
5;3;4;5;5;4;5;2;5;5;3;3;3;3;3;3;4;5;3;4;5;4;5;5;3;5;6;4;7;3;7;6;6;2;5;1;2;2;2;19;1;1;2;1;7
1;3;3;1;1;1;4;1;4;1;1;1;1;1;1;1;1;1;3;1;1;1;4;3;1;1;7;6;3;5;7;1;7;6;3;1;2;2;2;23;1;1;2;2;1
5;5;5;5;2;5;5;5;2;5;1;5;5;5;2;5;5;4;4;1;5;3;5;5;1;5;1;5;1;6;5;7;7;7;2;1;2;2;2;24;1;1;5;2;5
2;4;5;4;3;1;5;4;3;5;1;1;2;2;1;2;3;4;1;3;1;1;5;4;2;2;2;5;5;5;6;7;6;6;7;1;1;3;2;16;1;1;2;2;2
4;4;5;5;4;3;5;5;2;4;4;5;5;3;4;3;5;2;4;2;2;2;4;5;5;3;5;2;6;5;7;3;5;6;3;2;2;3;2;24;4;1;2;2;5
5;5;5;5;5;3;4;5;3;4;5;4;5;3;5;5;5;1;2;3;5;3;5;5;4;3;7;7;6;7;4;5;6;5;1;1;2;2;2;17;1;1;2;2;7
5;4;5;5;1;3;1;5;4;3;5;2;5;2;5;5;5;5;5;2;5;1;3;2;3;2;4;6;5;7;5;1;3;6;2;6;1;2;2;15;2;1;2;2;5
1;4;2;2;4;4;5;5;5;3;1;5;3;5;4;3;3;5;4;3;1;1;3;5;5;4;6;2;6;2;7;1;7;3;5;5;3;3;2;37;1;1;2;2;6
4;5;4;3;3;4;5;4;4;2;4;2;5;5;5;1;2;5;5;4;1;1;5;4;4;5;6;3;7;3;5;5;5;5;4;5;2;3;1;20;1;1;2;2;6
5;4;5;5;5;4;3;5;5;5;3;1;4;5;5;5;5;3;5;4;5;2;5;5;2;5;4;6;1;7;6;2;3;7;1;1;2;2;3;19;5;1;1;1;7
4;2;5;4;5;2;3;5;2;4;5;2;5;4;3;4;5;2;5;4;2;1;4;4;5;3;2;5;4;6;3;7;3;5;5;1;3;2;2;21;1;1;1;2;5
1;5;3;1;5;5;5;2;4;4;3;5;5;5;4;2;1;5;1;4;3;3;5;4;5;4;6;2;7;6;5;5;7;6;6;5;4;2;1;66;1;2;4;2;1
4;4;3;4;5;4;5;4;4;4;4;4;4;5;2;2;4;4;5;4;1;4;4;4;3;5;6;1;2;1;7;5;5;6;3;2;2;2;2;18;4;1;2;2;4
5;5;5;5;4;3;5;5;2;5;4;5;5;2;4;4;5;2;4;2;4;1;2;5;2;5;1;5;6;7;5;7;4;2;2;5;2;2;2;20;2;1;2;2;5
5;4;4;5;3;3;3;4;1;5;1;4;1;3;4;5;4;2;4;1;4;1;4;5;1;4;6;6;2;6;7;5;1;7;1;1;1;3;2;18;2;1;2;2;5
5;5;5;5;5;3;4;3;4;4;1;5;3;5;1;3;4;5;2;3;5;2;5;4;4;5;2;2;6;2;6;6;6;5;6;1;4;2;1;56;1;2;2;2;2
3;2;5;1;2;2;5;2;3;3;4;4;3;2;1;2;3;2;5;3;1;1;2;4;2;2;3;5;6;4;5;5;6;3;6;3;2;1;2;22;1;1;2;2;3
5;4;5;5;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;2;6;6;5;5;6;5;3;2;2;3;3;1;32;2;1;3;1;6
4;4;4;4;4;4;5;4;4;5;2;4;4;4;2;4;4;4;2;4;4;4;4;5;4;4;1;3;6;2;6;7;5;3;6;2;4;2;1;49;1;1;3;2;6
3;5;4;1;5;3;4;1;4;4;4;4;3;4;1;2;4;4;5;4;1;1;4;5;4;1;5;6;6;2;5;4;3;3;6;4;1;3;1;14;1;1;2;2;6
2;4;3;2;3;4;4;0;3;2;4;4;4;3;1;4;3;4;2;4;5;3;3;4;4;4;3;5;6;2;6;6;4;6;6;4;3;2;2;39;1;2;1;2;5
3;3;4;4;5;5;5;2;5;4;3;4;3;4;4;3;5;5;3;4;5;4;5;5;2;5;5;2;7;2;5;5;6;1;6;2;2;3;2;16;2;1;2;2;5
5;3;5;5;5;5;5;5;4;5;1;2;5;4;2;4;5;5;4;5;1;3;2;5;5;2;3;6;3;3;6;7;1;3;6;2;2;2;2;14;1;1;1;2;5
5;5;5;5;2;3;3;5;3;5;5;5;2;4;5;3;5;5;5;3;5;1;3;5;1;4;7;6;6;7;6;2;7;7;1;1;2;2;2;17;1;1;3;2;6
