id;response_status;how_long_listening;age;nps_score;gender
11706300;Complete;Less than 6 months;25-34;10;Female
11706302;Complete;1 year to less than 3 years;25-34;10;Female
11706307;Complete;6 months to less than a year;35-44;10;Female
11706312;Complete;Less than 6 months;35-44;10;Female
11706316;Complete;6 months to less than a year;25-34;10;Male
11706318;Complete;5 years to less than 10 years;35-44;10;Female
11706335;Complete;3 years to less than 5 years;25-34;8;Female
11706368;Complete;6 months to less than a year;18-24;10;Female
11706376;Complete;3 years to less than 5 years;45-54;9;Male
11706396;Complete;1 year to less than 3 years;45-54;10;Male
11706402;Complete;1 year to less than 3 years;35-44;10;Male
11706403;Complete;5 years to less than 10 years;25-34;10;Female
11706413;Complete;More than 15 years;55-64;10;Male
11706427;Complete;1 year to less than 3 years;18-24;10;Female
11706445;Complete;6 months to less than a year;25-34;10;Male
11706452;Complete;1 year to less than 3 years;45-54;10;Female
11706453;Complete;1 year to less than 3 years;35-44;10;Female
11706467;Incomplete;Less than 6 months;18-24;;
11706530;Complete;1 year to less than 3 years;55-64;10;Female
11706532;Complete;Less than 6 months;18-24;9;Male
11706559;Complete;Less than 6 months;45-54;10;Male
11706600;Complete;5 years to less than 10 years;45-54;10;Male
11706634;Complete;Less than 6 months;25-34;10;Female
11706636;Complete;1 year to less than 3 years;45-54;10;Female
11706658;Complete;6 months to less than a year;25-34;10;Female
11706667;Complete;5 years to less than 10 years;25-34;10;Female
11706686;Complete;1 year to less than 3 years;35-44;10;Male
11706718;Complete;5 years to less than 10 years;65-74;9;Female
11706752;Complete;1 year to less than 3 years;25-34;10;Female
11706780;Complete;3 years to less than 5 years;25-34;10;Female
11706826;Complete;10 years to less than 15 years;25-34;10;Female
11706938;Incomplete;1 year to less than 3 years;25-34;;
11706979;Incomplete;6 months to less than a year;25-34;;
11707016;Complete;Less than 6 months;45-54;10;Female
11707034;Complete;Less than 6 months;55-64;10;Male
11707040;Complete;1 year to less than 3 years;25-34;10;Male
11707041;Complete;6 months to less than a year;25-34;10;Male
11707084;Complete;1 year to less than 3 years;35-44;10;Female
11707112;Complete;1 year to less than 3 years;25-34;10;Female
11707123;Complete;1 year to less than 3 years;35-44;10;Female
11707160;Complete;1 year to less than 3 years;45-54;10;Female
11707289;Complete;Less than 6 months;25-34;10;Male
11707411;Complete;1 year to less than 3 years;25-34;10;Female
11707426;Incomplete;6 months to less than a year;25-34;;
11707428;Complete;Less than 6 months;18-24;10;Male
11707436;Complete;Less than 6 months;18-24;10;Female
11707520;Complete;1 year to less than 3 years;45-54;10;Male
11707542;Complete;Less than 6 months;35-44;7;Female
11707719;Incomplete;3 years to less than 5 years;35-44;;
11707747;Complete;6 months to less than a year;35-44;10;Female
11707821;Complete;1 year to less than 3 years;35-44;6;Male
11707840;Complete;3 years to less than 5 years;35-44;10;Female
11707906;Complete;1 year to less than 3 years;55-64;10;Female
11707918;Incomplete;Less than 6 months;18-24;;
11708001;Complete;1 year to less than 3 years;18-24;10;Female
11708106;Complete;1 year to less than 3 years;35-44;10;Female
11708152;Complete;6 months to less than a year;25-34;10;Female
11708255;Complete;3 years to less than 5 years;25-34;10;Female
11708331;Complete;5 years to less than 10 years;25-34;10;Male
11708440;Complete;1 year to less than 3 years;35-44;10;Female
11708525;Complete;5 years to less than 10 years;18-24;10;Female
11708526;Complete;1 year to less than 3 years;18-24;10;Male
11708546;Complete;5 years to less than 10 years;18-24;8;Female
11708583;Complete;10 years to less than 15 years;35-44;9;Female
11708604;Complete;1 year to less than 3 years;25-34;10;Female
11708616;Complete;Less than 6 months;25-34;5;Female
11708668;Incomplete;1 year to less than 3 years;55-64;;
11708696;Complete;1 year to less than 3 years;25-34;10;
11708830;Complete;5 years to less than 10 years;25-34;10;Female
11708850;Complete;6 months to less than a year;35-44;10;Female
11708907;Complete;3 years to less than 5 years;55-64;10;Female
11709012;Complete;6 months to less than a year;18-24;5;Male
11709033;Complete;Less than 6 months;18-24;6;Male
11709046;Complete;5 years to less than 10 years;25-34;10;Female
11709052;Complete;1 year to less than 3 years;45-54;9;Male
11709136;Complete;Less than 6 months;45-54;9;Male
11709152;Complete;3 years to less than 5 years;25-34;10;Female
11709209;Complete;6 months to less than a year;35-44;7;Female
11709316;Complete;6 months to less than a year;35-44;10;Male
11709390;Complete;1 year to less than 3 years;55-64;10;Male
11709457;Complete;6 months to less than a year;45-54;7;Male
11709473;Complete;6 months to less than a year;25-34;10;Male
11709520;Complete;1 year to less than 3 years;35-44;10;Female
11709707;Complete;1 year to less than 3 years;65-74;10;Female
