symbol,date,open,high,low,close,volume,adjusted
AABA,2017-11-15,68.230003,69.550003,68.050003,69.43,9144200,69.43
AABA,2017-11-16,69.800003,71.220001,69.800003,70.75,7509900,70.75
AABA,2017-11-17,70.809998,71.370003,70.739998,71.019997,14298500,71.019997
AABA,2017-11-20,71.599998,72.529999,71.43,71.949997,14666300,71.949997
AABA,2017-11-21,72.660004,73.139999,72.309998,72.849998,9514300,72.849998
AABA,2017-11-22,73.019997,73.25,72.459999,72.599998,6721500,72.599998
AABA,2017-11-24,72.470001,73.18,72.309998,72.93,3356300,72.93
AABA,2017-11-27,72.82,73.120003,71.919998,72.07,7630100,72.07
AABA,2017-11-28,72.25,72.480003,71.489998,71.980003,11936700,71.980003
AABA,2017-11-29,71.610001,71.699997,68.510002,70.360001,15976e3,70.360001
AABA,2017-11-30,70.309998,70.839996,69.370003,70.059998,19215600,70.059998
AABA,2017-12-01,69.800003,71.25,69.470001,70.099998,19712900,70.099998
AABA,2017-12-04,71.059998,71.339996,68.160004,68.309998,15533600,68.309998
AABA,2017-12-05,67.099998,69.379997,66.620003,68.129997,11963100,68.129997
AABA,2017-12-06,67.779999,69.620003,67.360001,69.410004,11646600,69.410004
AABA,2017-12-07,69.75,70.639999,69.480003,70.220001,7084600,70.220001
AABA,2017-12-08,71,71.629997,70.82,71.25,7020900,71.25
AABA,2017-12-11,71.699997,72.089996,71.150002,71.529999,7359300,71.529999
AABA,2017-12-12,71.07,71.150002,69.550003,69.769997,11296200,69.769997
AABA,2017-12-13,69.800003,71.760002,69.690002,71.239998,17321300,71.239998
AABA,2017-12-14,70.599998,70.620003,68.839996,69.230003,17077100,69.230003
AABA,2017-12-15,69.349998,70.540001,68.660004,70.290001,19517600,70.290001
AABA,2017-12-18,70.540001,70.739998,69.949997,70.139999,6777e3,70.139999
AABA,2017-12-19,69.699997,70.360001,69.379997,70.209999,14655e3,70.209999
AABA,2017-12-20,70.599998,71.050003,70.169998,70.900002,12887800,70.900002
AABA,2017-12-21,71,72.169998,70.879997,71.589996,9682700,71.589996
AABA,2017-12-22,71.419998,71.870003,71.220001,71.580002,10979200,71.580002
AABA,2017-12-26,70.940002,71.389999,69.629997,69.860001,8542800,69.860001
AABA,2017-12-27,69.769997,70.489998,69.690002,70.059998,6345100,70.059998
AABA,2017-12-28,70.120003,70.32,69.510002,69.82,7556900,69.82
AABA,2017-12-29,69.790001,70.129997,69.43,69.849998,6612700,69.849998
AABA,2018-01-02,70.769997,73.349998,70.550003,73.129997,11437300,73.129997
AABA,2018-01-03,73.5,73.860001,72.769997,73.779999,7401700,73.779999
AABA,2018-01-04,74.099998,75.220001,74.010002,74.57,8290900,74.57
AABA,2018-01-05,75.080002,76.57,74.910004,76.489998,6284e3,76.489998
AABA,2018-01-08,76.209999,76.809998,75.980003,76.480003,5287900,76.480003
AABA,2018-01-09,77.019997,77.230003,75.830002,76.589996,4907400,76.589996
AABA,2018-01-10,75.760002,76.660004,75.449997,76.510002,14777900,76.510002
AABA,2018-01-11,76.540001,76.779999,76.040001,76.139999,9457900,76.139999
